data,Datai,Dataf,P15,Livello,WHC
25/03/2015 20:30,2015-03-25 20:15:00+00:00,2015-03-25 20:30:00+00:00,0.2,0.28,
25/03/2015 20:45,2015-03-25 20:30:00+00:00,2015-03-25 20:45:00+00:00,0.2,,
25/03/2015 21:00,2015-03-25 20:45:00+00:00,2015-03-25 21:00:00+00:00,0.6,0.24,
25/03/2015 21:15,2015-03-25 21:00:00+00:00,2015-03-25 21:15:00+00:00,0.2,,
25/03/2015 21:30,2015-03-25 21:15:00+00:00,2015-03-25 21:30:00+00:00,0,0.21,
25/03/2015 21:45,2015-03-25 21:30:00+00:00,2015-03-25 21:45:00+00:00,0,,
25/03/2015 22:00,2015-03-25 21:45:00+00:00,2015-03-25 22:00:00+00:00,0,0.21,
25/03/2015 22:15,2015-03-25 22:00:00+00:00,2015-03-25 22:15:00+00:00,0.2,,
25/03/2015 22:30,2015-03-25 22:15:00+00:00,2015-03-25 22:30:00+00:00,0.2,0.2,
25/03/2015 22:45,2015-03-25 22:30:00+00:00,2015-03-25 22:45:00+00:00,0,,
25/03/2015 23:00,2015-03-25 22:45:00+00:00,2015-03-25 23:00:00+00:00,0.2,0.19,
25/03/2015 23:15,2015-03-25 23:00:00+00:00,2015-03-25 23:15:00+00:00,0.4,,
25/03/2015 23:30,2015-03-25 23:15:00+00:00,2015-03-25 23:30:00+00:00,0.4,0.18,
25/03/2015 23:45,2015-03-25 23:30:00+00:00,2015-03-25 23:45:00+00:00,0.4,,
26/03/2015 00:00,2015-03-25 23:45:00+00:00,2015-03-26 00:00:00+00:00,0.4,0.18,
